Node,Longitude,Latitude
898,104.0980187,30.60538701
899,104.0174622,30.68377642
900,104.1007402,30.71605867
901,103.998551,30.629674
902,104.0307816,30.63957267
903,104.0802769,30.66813158
904,104.0549769,30.62263487
905,104.1126334,30.62215442
906,104.0579489,30.71528136
907,104.0719292,30.70511218
908,103.9425616,30.630378
909,104.038017,30.67271158
910,104.0983198,30.64447256
911,104.0470481,30.60795889
912,104.0716051,30.60650411
913,104.0672903,30.69928595
914,104.1241629,30.68298904
915,103.9749723,30.66252693
916,104.0664825,30.65485151
917,104.1340428,30.62526002
918,104.0419633,30.60947907
919,104.0684345,30.60474509
920,104.0552225,30.6801717
921,104.1032345,30.69290878
922,103.951201,30.67450041
923,104.0618457,30.66270572
924,104.0724705,30.6485309
925,104.0434786,30.60525631
926,104.0717634,30.59121614
927,104.0094376,30.67908282
928,104.0741314,30.69052755
929,103.9856642,30.62376699
930,104.0350085,30.64701254
931,104.0818673,30.64545371
932,104.0578707,30.60543778
933,104.1244253,30.60617433
934,104.0219287,30.73010679
935,104.0801761,30.68922895
936,103.990711,30.65129124
937,104.0617125,30.66071793
938,104.109586,30.63629375
939,104.0056635,30.61351558
940,104.0946732,30.59714389
941,104.0068158,30.72585148
942,104.0886043,30.70813837
943,103.9841556,30.65006856
944,104.0381346,30.66861573
945,104.0707136,30.67059491
946,104.0481868,30.59674836
947,104.1130701,30.62038703
948,104.0133461,30.69733246
949,104.1014792,30.70351697
950,103.956184,30.67458422
951,104.0160584,30.63558542
952,104.085206,30.6563458
953,104.046579,30.61154818
954,104.1276807,30.60790258
955,104.0220874,30.69179222
956,104.0778861,30.70836235
957,103.9967636,30.67595381
958,104.0261589,30.67753043
959,104.1037376,30.66420395
960,104.0383729,30.61306544
961,104.072884,30.59762255
962,104.0367435,30.70041989
963,104.084483,30.69566169
964,103.9914975,30.64819486
965,104.0225494,30.63101898
966,104.0903608,30.67653969
967,104.0550112,30.61128466
968,104.0790641,30.61458745
969,104.0021305,30.68485942
970,104.0780206,30.71824697
971,103.991266,30.66818088
972,104.0064463,30.67175686
973,104.0725542,30.64772127
974,104.0364116,30.60942077
975,104.1352438,30.6229403
976,104.0013005,30.71088213
977,104.1032838,30.68263455
978,103.9963677,30.67454556
979,104.0526638,30.65918799
980,104.0684967,30.66259625
981,104.0517689,30.6005863
982,104.11696,30.62233282
983,104.0192148,30.68133741
984,104.12515,30.71284665
985,103.9960972,30.63746196
986,104.0248174,30.63544404
987,104.1289722,30.66742428
988,104.0574511,30.58122199
989,104.10386,30.59804157
990,104.0121158,30.69204887
991,104.1128505,30.72010892
992,103.9888739,30.66393196
993,104.058489,30.63572687
994,104.0982797,30.66840388
995,104.0484851,30.61334283
996,104.0743822,30.6227454
997,104.0310372,30.69599301
998,104.1116379,30.71228749
999,103.9857416,30.67072388
1000,104.0043975,30.64251888
1001,104.0995887,30.62730653
